report_id,system_name,timestamp,error_code,response_time_ms,cpu_usage,memory_usage,status,cost_usd
1,WebServer,8/1/2025 10:01,ERR_500,500,77,58,FAILED,0.18
2,WebServer,8/1/2025 10:02,ERR_408,297,61,45,FAILED,0.26
3,DBServer,8/1/2025 10:03,ERR_503,243,72,43,FAILED,0.15
4,WebServer,8/1/2025 10:04,OK,425,55,63,SUCCESS,0.27
5,AuthServer,8/1/2025 10:05,OK,502,65,37,SUCCESS,0.26
6,DBServer,8/1/2025 10:06,ERR_503,247,71,41,FAILED,0.12
7,WebServer,8/1/2025 10:07,ERR_500,650,57,74,FAILED,0.11
8,AuthServer,8/1/2025 10:08,WARN_299,572,89,57,WARNING,0.2
9,WebServer,8/1/2025 10:09,ERR_500,397,74,41,FAILED,0.23
10,WebServer,8/1/2025 10:10,ERR_500,445,87,36,FAILED,0.3
11,APIService,8/1/2025 10:11,ERR_500,353,51,39,FAILED,0.28
12,AuthServer,8/1/2025 10:12,OK,108,80,69,SUCCESS,0.23
13,APIService,8/1/2025 10:13,ERR_408,307,42,54,FAILED,0.28
14,AuthServer,8/1/2025 10:14,ERR_408,219,72,58,FAILED,0.27
15,WebServer,8/1/2025 10:15,ERR_503,519,77,74,FAILED,0.21
16,WebServer,8/1/2025 10:16,OK,326,87,59,SUCCESS,0.23
17,APIService,8/1/2025 10:17,ERR_500,437,41,69,FAILED,0.22
18,DBServer,8/1/2025 10:18,ERR_500,260,43,67,FAILED,0.19
19,AuthServer,8/1/2025 10:19,ERR_408,603,47,41,FAILED,0.24
20,DBServer,8/1/2025 10:20,ERR_503,132,87,46,FAILED,0.19
21,APIService,8/1/2025 10:21,ERR_503,569,61,64,FAILED,0.29
22,AuthServer,8/1/2025 10:22,ERR_500,464,47,61,FAILED,0.18
23,APIService,8/1/2025 10:23,WARN_299,376,69,67,WARNING,0.21
24,AuthServer,8/1/2025 10:24,OK,580,44,53,SUCCESS,0.21
25,APIService,8/1/2025 10:25,ERR_408,291,88,51,FAILED,0.3
26,DBServer,8/1/2025 10:26,OK,257,68,40,SUCCESS,0.16
27,DBServer,8/1/2025 10:27,ERR_500,136,63,63,FAILED,0.17
28,AuthServer,8/1/2025 10:28,OK,280,70,69,SUCCESS,0.3
29,WebServer,8/1/2025 10:29,OK,215,60,66,SUCCESS,0.27
30,DBServer,8/1/2025 10:30,ERR_503,355,42,52,FAILED,0.2
31,WebServer,8/1/2025 10:31,ERR_500,665,42,74,FAILED,0.1
32,DBServer,8/1/2025 10:32,ERR_408,387,86,56,FAILED,0.16
33,WebServer,8/1/2025 10:33,ERR_503,254,81,36,FAILED,0.15
34,DBServer,8/1/2025 10:34,ERR_408,203,72,43,FAILED,0.23
35,WebServer,8/1/2025 10:35,ERR_408,275,78,63,FAILED,0.15
36,WebServer,8/1/2025 10:36,ERR_500,637,74,59,FAILED,0.21
37,WebServer,8/1/2025 10:37,OK,605,46,70,SUCCESS,0.26
38,DBServer,8/1/2025 10:38,ERR_503,420,47,50,FAILED,0.09
39,AuthServer,8/1/2025 10:39,ERR_408,570,54,62,FAILED,0.21
40,AuthServer,8/1/2025 10:40,ERR_500,150,64,56,FAILED,0.21
41,DBServer,8/1/2025 10:41,ERR_500,441,88,76,FAILED,0.26
42,DBServer,8/1/2025 10:42,OK,153,82,71,SUCCESS,0.19
43,AuthServer,8/1/2025 10:43,OK,152,83,78,SUCCESS,0.22
44,DBServer,8/1/2025 10:44,OK,295,45,79,SUCCESS,0.12
45,AuthServer,8/1/2025 10:45,ERR_408,449,86,69,FAILED,0.22
46,AuthServer,8/1/2025 10:46,ERR_500,368,89,76,FAILED,0.15
47,DBServer,8/1/2025 10:47,ERR_408,219,58,62,FAILED,0.24
48,WebServer,8/1/2025 10:48,ERR_503,445,76,60,FAILED,0.29
49,DBServer,8/1/2025 10:49,ERR_500,226,48,46,FAILED,0.17
50,WebServer,8/1/2025 10:50,ERR_503,157,40,68,FAILED,0.13
51,WebServer,8/1/2025 10:51,WARN_299,217,87,59,WARNING,0.23
52,DBServer,8/1/2025 10:52,OK,371,78,39,SUCCESS,0.21
53,AuthServer,8/1/2025 10:53,WARN_299,346,42,46,WARNING,0.2
54,APIService,8/1/2025 10:54,WARN_299,534,76,56,WARNING,0.08
55,WebServer,8/1/2025 10:55,WARN_299,319,44,64,WARNING,0.27
56,AuthServer,8/1/2025 10:56,OK,552,51,50,SUCCESS,0.1
57,AuthServer,8/1/2025 10:57,WARN_299,531,60,73,WARNING,0.16
58,APIService,8/1/2025 10:58,OK,353,69,71,SUCCESS,0.17
59,DBServer,8/1/2025 10:59,ERR_503,621,44,70,FAILED,0.09
60,DBServer,8/1/2025 11:00,ERR_500,322,49,53,FAILED,0.19
61,WebServer,8/1/2025 11:01,ERR_503,424,84,38,FAILED,0.22
62,WebServer,8/1/2025 11:02,ERR_503,435,41,62,FAILED,0.21
63,APIService,8/1/2025 11:03,WARN_299,574,59,58,WARNING,0.23
64,DBServer,8/1/2025 11:04,OK,479,72,67,SUCCESS,0.26
65,WebServer,8/1/2025 11:05,ERR_500,526,76,46,FAILED,0.16
66,AuthServer,8/1/2025 11:06,OK,516,79,44,SUCCESS,0.13
67,AuthServer,8/1/2025 11:07,OK,384,52,46,SUCCESS,0.1
68,DBServer,8/1/2025 11:08,ERR_503,352,89,69,FAILED,0.15
69,WebServer,8/1/2025 11:09,WARN_299,189,47,63,WARNING,0.27
70,WebServer,8/1/2025 11:10,ERR_503,517,80,41,FAILED,0.11
71,WebServer,8/1/2025 11:11,OK,600,89,79,SUCCESS,0.29
72,DBServer,8/1/2025 11:12,WARN_299,475,75,59,WARNING,0.26
73,AuthServer,8/1/2025 11:13,WARN_299,493,76,43,WARNING,0.21
74,APIService,8/1/2025 11:14,WARN_299,198,87,70,WARNING,0.16
75,APIService,8/1/2025 11:15,WARN_299,195,63,57,WARNING,0.28
76,WebServer,8/1/2025 11:16,ERR_503,136,51,47,FAILED,0.24
77,DBServer,8/1/2025 11:17,ERR_408,372,88,54,FAILED,0.26
78,DBServer,8/1/2025 11:18,OK,441,52,53,SUCCESS,0.17
79,AuthServer,8/1/2025 11:19,ERR_408,495,80,53,FAILED,0.1
80,AuthServer,8/1/2025 11:20,OK,554,67,48,SUCCESS,0.23
81,WebServer,8/1/2025 11:21,ERR_500,663,58,50,FAILED,0.18
82,DBServer,8/1/2025 11:22,OK,198,51,59,SUCCESS,0.2
83,AuthServer,8/1/2025 11:23,ERR_503,568,75,57,FAILED,0.25
84,AuthServer,8/1/2025 11:24,ERR_500,138,84,76,FAILED,0.29
